line,schedule,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,zh-tw-update,zh-tw-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
2,002_TT_12-14-25.pdf,,"Travel time adjustments will be made to weekday and Saturday schedules. Reduced one trip on weekday, Saturday and Sunday in the 6pm period.",For improved reliability better reflecting actual travel times and ridership. Savings reallocated to other improvements.,"Se realizarán ajustes en los horarios del servicio de transporte programados de los días laborales y sábados. Y se hará un recorrido menos entre semana, los sábados y domingos en la franja de las 6 p.m.","Para mejorar la confiabilidad del servicio, reflejando mejor los horarios en que viajan y la cantidad de pasajeros reales. Lo que se ahorre se destinará a realizar otras mejoras.","Աշխատանքային և շաբաթ օրերի չվացուցակներում կկատարվեն ուղևորության ժամերի փոփոխություններ: Կրճատվել է մեկ ուղևորություն աշխատանքային, շաբաթ և կիրակի օրերին՝ ժամը 18:00-ի չվացուցակում:","Բարելավված հուսալիության համար, որն ավելի լավ է արտացոլում իրական երթևեկության ժամանակն ու ուղևորների թիվը։ Խնայողությունները կվերաբաշխվեն այլ բարելավումների միջև։",工作日及週六時刻表將調整行車時間；工作日、週六及週日傍晚 6 點時段各減少一班次。,為提升準點可靠性，使時刻表更貼合實際行車時間與客流情況。節省之資源將重新分配至其他服務改善項目。,"평일 및 토요일에 운행 시간 조정이 적용됩니다. 오후 6시대에는 평일, 토요일, 일요일 각각 1회 감편됩니다.",실제 운행 시간과 이용객 수를 더 정확하게 반영하여 신뢰도를 높이기 위함입니다. 감편은 기타 개선 사항에 반영됩니다.,平日および土曜のダイヤで、所要時間の調整を行います。平日・土曜・日曜の18時台の便をそれぞれ1本減便しました。,実際の移動時間や乗客数をより正確に反映し、運行の信頼性を向上させるため。他の改善に再配分されます。,"Скорректировано время отправления в будние дни и субботу. Убран один рейс в 18:00 по будням, в субботу и воскресенье.","""Для повышения надежности обслуживания, соответствия фактическому времени поездок и пассажиропотока. Сэкономленное таким образом время будет использовано для других улучшений. ""","Điều chỉnh thời gian di chuyển vào các ngày thường trong tuần và Thứ Bảy. Giảm một chuyến vào khung 6 giờ chiều vào ngày thường, Thứ Bảy và Chủ Nhật.",Nhằm nâng cao độ tin cậy bằng cách điều chỉnh thời gian di chuyển cho sát với thực tế và lưu lượng hành khách. Phần nguồn lực tiết kiệm được sẽ được tái phân bổ cho các cải tiến khác.
4,004_TT_12-14-25.pdf,,"Travel time adjustments will be made to weekday, Saturday and Sunday schedules. Reduced one weekday eastbound and one westbound trip in the 6pm period.",For improved reliability better reflecting actual travel times and ridership. Savings reallocated to other improvements.,"Se realizarán ajustes en los horarios del servicio de transporte programados de los días laborales, sábados y domingos. Y se hará un recorrido menos entre semana en dirección este y otro en oeste durante la franja de las 6 p.m.","Para mejorar la confiabilidad del servicio, reflejando mejor los horarios en que viajan y la cantidad de pasajeros reales. Lo que se ahorre se destinará a realizar otras mejoras.","Ուղևորության ժամերի փոփոխություններ կկատարվեն աշխատանքային, շաբաթ և կիրակի օրերի չվացուցակներում: Ժամը 18:00-ի չվացուցակում դեպի արևելք և դեպի արևմուտք ուղղությամբ կրճատվել են մեկական ուղևորություն աշխատանքային օրերին:","Բարելավված հուսալիության համար, որն ավելի լավ է արտացոլում իրական երթևեկության ժամանակն ու ուղևորների թիվը։ Խնայողությունները կվերաբաշխվեն այլ բարելավումների միջև։",行車時間調整適用於工作日、週六和週日時刻表；工作日傍晚 6 點時段東行與西行各減少一班次。,為提升準點可靠性，使時刻表更貼合實際行車時間與客流情況。節省之資源將重新分配至其他服務改善項目。,"""평일, 토요일, 일요일에 운행 시간 조정이 적용됩니다. 오후 6시대에 평일 기준 동행과 서행 각각 1회 감편됩니다.""",실제 운행 시간과 이용객 수를 더 정확하게 반영하여 신뢰도를 높이기 위함입니다. 감편은 기타 개선 사항에 반영됩니다.,平日・土曜・日曜のダイヤで、所要時間の調整を行います。平日の18時台で、東行きと西行きの便をそれぞれ1本減便しました。,実際の移動時間や乗客数をより正確に反映し、運行の信頼性を向上させるため。他の改善に再配分されます。,"Скорректировано время отправления в будние дни, а также в субботу и воскресенье. Убран один рейс в восточном направлении и один рейс в западном направлении по будням в 18:00.","""Для повышения надежности обслуживания, соответствия фактическому времени поездок и пассажиропотока. Сэкономленное таким образом время будет использовано для других улучшений. ""","Điều chỉnh thời gian di chuyển vào các ngày thường trong tuần, Thứ Bảy và Chủ Nhật. Giảm một chuyến hướng đông và một chuyến hướng tây trong khung 6 giờ chiều vào ngày thường.",Nhằm nâng cao độ tin cậy bằng cách điều chỉnh thời gian di chuyển cho sát với thực tế và lưu lượng hành khách. Phần nguồn lực tiết kiệm được sẽ được tái phân bổ cho các cải tiến khác.
10,010_TT_12-14-25.pdf,,Fairfax High School terms start time adjusted.,To better reflect school schedule.,Se hicieron ajustes en el horario de inicio del recorrido a la escuela secundaria Fairfax.,Para reflejar mejor el horario de la escuela.,Fairfax Ավագ Դպրոցի ուսումնական տարվա մեկնարկի ժամը փոփոխվել է։,Դպրոցական չվացուցակն ավելի լավ արտացոլելու համար։,調整費爾法克斯高中學期開始時間。,為更準確貼合學校課表。,Fairfax High School 학기 시작 시간이 조정되었습니다.,학교 시간표를 더 잘 반영하기 위함입니다.,Fairfax High School の授業開始時刻を調整しました。,学校の時間割により適した運行にするため。,Изменено время начала занятий в школе Fairfax High School.,Чтобы лучше соответствовать школьному расписанию.,Điều chỉnh thời gian bắt đầu kỳ học của Trường Trung học Fairfax.,Để phù hợp hơn với lịch học của học sinh.
14,014_TT_12-14-25.pdf,,Travel time adjustments will be made to weekday schedules only.,For improved reliability better reflecting actual travel times.,Solamente se realizarán ajustes en los horarios del servicio de transporte programados de los días laborales.,"Para mejorar la confiabilidad del servicio, reflejando mejor los horarios en que realmente viajan los pasajeros.",Ուղևորության ժամերի փոփոխություններ կկատարվեն միայն աշխատանքային օրերի չվացուցակներում։,"Բարելավված հուսալիության համար, որն ավելի լավ է արտացոլում իրական երթևեկության ժամանակը։",僅調整工作日時刻表行車時間。,為提升準點可靠性，使時刻表更貼合實際行車時間。,평일에만 운행 시간 조정이 적용됩니다.,실제 운행 시간을 더 정확하게 반영하여 신뢰도를 높이기 위함입니다.,平日のダイヤのみ、所要時間の調整を行います。,実際の移動時間をより正確に反映し、運行の信頼性を向上させます。,Скорректировано время отправления в будние дни.,Для повышения надежности обслуживания и соответствия фактическому времени поездок.,Chỉ điều chỉnh thời gian di chuyển vào các ngày thường trong tuần.,Nhằm nâng cao độ tin cậy bằng cách điều chỉnh thời gian di chuyển cho sát với thực tế.
20,020_TT_12-14-25.pdf,,"Travel time adjustments will be made to weekday, Saturday and Sunday schedules.",For improved reliability better reflecting actual travel times.,"Se realizarán ajustes en los horarios del servicio de transporte programados de los días laborales, sábados y domingos.","Para mejorar la confiabilidad del servicio, reflejando mejor los horarios en que realmente viajan los pasajeros.","Ուղևորության ժամերի փոփոխություններ կկատարվեն աշխատանքային, շաբաթ և կիրակի օրերի չվացուցակներում։","Բարելավված հուսալիության համար, որն ավելի լավ է արտացոլում իրական երթևեկության ժամանակը։",行車時間調整適用於工作日、週六和週日時刻表。,為提升準點可靠性，使時刻表更貼合實際行車時間。,"평일, 토요일 및 일요일에 운행 시간 조정이 적용될 예정입니다.",실제 운행 시간을 더 정확하게 반영하여 신뢰도를 높이기 위함입니다.,平日・土曜・日曜のダイヤで、所要時間の調整を行います。,実際の移動時間をより正確に反映し、運行の信頼性を向上させます。,"Скорректировано время отправления в будние дни, а также в субботу и воскресенье.",Для повышения надежности обслуживания и соответствия фактическому времени поездок.,"Điều chỉnh thời gian di chuyển vào các ngày thường trong tuần, Thứ Bảy và Chủ Nhật.",Nhằm nâng cao độ tin cậy bằng cách điều chỉnh thời gian di chuyển cho sát với thực tế.
30,030_TT_12-14-25.pdf,,Travel time adjustments will be made to weekday and Saturday schedules. Detour via Olympic Bl made permanent between Figueroa St and Union Av.,To accommodate LA Convention Center Long-Term Construction Project with associated 18-month detour.,Se realizarán ajustes en los horarios del servicio de transporte programados de los días laborales y sábados. El desvío por el Boulevard Olympic se volvió parte del recorrido permanente entre la Calle Figueroa y la Avenida Union.,Para ajustarnos al proyecto de construcción a largo plazo del Centro de Convenciones de Los Ángeles y al correspondiente desvío asociado durante 18 meses.,Ուղևորության ժամերի փոփոխություններ կկատարվեն աշխատանքային և շաբաթ օրերի չվացուցակներում։ Շրջանցիկ երթուղին Olympic Bl-ով դարձել է հիմնական ճանապարհը Figueroa St-ի և and Union Av.-ի միջև։,Լոս Անջելեսի Կոնվենցիոն Կենտրոնի երկարաժամկետ շինարարական նախագծի իրականացման հետ կապված կլինի 18-ամսյա շրջանցիկ ճանապարհի հետ հարմարեցնելու համար։,工作日及週六時刻表將調整行車時間，Figueroa St 與 Union Ave 之間經 Olympic BI 的繞行路線將設為永久路線。,配合洛杉磯會議中心長期建設工程，相關 18 個月改道措施已確定。,평일 및 토요일에 운행 시간이 조정이 적용됩니다. Figueroa St와 Union Av 사이의 Olympic Bl를 경유하는 우회 구간이 영구화됩니다.,LA 컨벤션 센터 장기 공사와 이에 따른 18개월 간의 우회 운행을 반영하기 위함입니다.,平日および土曜のダイヤで、所要時間の調整を行います。Figueroa St から Union Av の区間で、Olympic Bl 経由の迂回運行を通常運転としました。,LA Convention Center の長期建設プロジェクトに伴う 18 か月間の迂回運行に対応するため。,Скорректировано время отправления в будние дни и по субботам. Объезд по Olympic Bl между Figueroa St и Union Av станет постоянным.,Для обеспечения проведения долгосрочного строительного проекта в Конференц-центре Лос-Анджелеса и сопутствующим 18-месячным объездом.,Điều chỉnh thời gian di chuyển vào các ngày thường trong tuần và Thứ Bảy. Áp dụng vĩnh viễn lộ trình đi vòng qua Olympic Bl giữa Figueroa St và Union Av.,Để đáp ứng Dự án Xây dựng Dài hạn tại LA Convention Center với tuyến đường vòng kéo dài 18 tháng.
33,033_TT_12-14-25.pdf,,Travel time adjustments will be made to Saturday and Sunday schedules.,For improved reliability better reflecting actual travel times.,Se realizarán ajustes en los horarios del servicio de transporte programados de los sábados y domingos.,"Para mejorar la confiabilidad del servicio, reflejando mejor los horarios en que realmente viajan los pasajeros.",Ուղևորության ժամերի փոփոխություններ կկատարվեն շաբաթ և կիրակի օրերի չվացուցակներում։,"Բարելավված հուսալիության համար, որն ավելի լավ է արտացոլում իրական երթևեկության ժամանակը։",行車時間調整適用於週六和週日時刻表。,為提升準點可靠性，使時刻表更貼合實際行車時間。,토요일 및 일요일에 운행 시간 조정이 적용됩니다.,실제 운행 시간을 더 정확하게 반영하여 신뢰도를 높이기 위함입니다.,土曜および日曜のダイヤで、所要時間の調整を行います。,実際の移動時間をより正確に反映し、運行の信頼性を向上させます。,Скорректировано время отправления в субботу и воскресенье.,Для повышения надежности обслуживания и соответствия фактическому времени поездок.,Điều chỉnh thời gian di chuyển vào Thứ Bảy và Chủ Nhật.,Nhằm nâng cao độ tin cậy bằng cách điều chỉnh thời gian di chuyển cho sát với thực tế.
37,037_TT_12-14-25.pdf,,Travel time adjustments will be made to weekday schedules only.,For improved reliability better reflecting actual travel times.,Solamente se realizarán ajustes en los horarios del servicio de transporte programados de los días laborales.,"Para mejorar la confiabilidad del servicio, reflejando mejor los horarios en que realmente viajan los pasajeros.",Ուղևորության ժամերի փոփոխություններ կկատարվեն միայն աշխատանքային օրերի չվացուցակներում։,"Բարելավված հուսալիության համար, որն ավելի լավ է արտացոլում իրական երթևեկության ժամանակը։",行車時間調整僅適用於工作日時刻表。,為提升準點可靠性，使時刻表更貼合實際行車時間。,평일에만 운행 시간 조정이 적용됩니다.,실제 운행 시간을 더 정확하게 반영하여 신뢰도를 높이기 위함입니다.,平日のダイヤのみ、所要時間の調整を行います。,実際の移動時間をより正確に反映し、運行の信頼性を向上させます。,Скорректировано время отправления в будние дни.,Для повышения надежности обслуживания и соответствия фактическому времени поездок.,Chỉ điều chỉnh thời gian di chuyển vào các ngày thường trong tuần.,Nhằm nâng cao độ tin cậy bằng cách điều chỉnh thời gian di chuyển cho sát với thực tế.
45,045_TT_12-14-25.pdf,,"Travel time adjustments will be made to weekday, Saturday and Sunday schedules. Weekday one trip added northbound in the 8am period and northbound evening trips removed one in the 5am period and one in the 6pm period.",For improved reliability better reflecting actual travel times and ridership. Savings reallocated to other improvements.,"Se realizarán ajustes en los horarios del servicio de transporte programados de los días laborales, sábados y domingos. Y, en dirección norte, entre semana se sumará un recorrido en la franja de las 8 a.m., y se eliminarán uno de las 5 a.m. y otro de las 6 p.m.","Para mejorar la confiabilidad del servicio, reflejando mejor los horarios en que viajan y la cantidad de pasajeros reales. Lo que se ahorre se destinará a realizar otras mejoras.","Ուղևորության ժամերի փոփոխություններ կկատարվեն աշխատանքային, շաբաթ և կիրակի օրերի չվացուցակներում։ Ժամը 8:00-ի չվացուցակում դեպի հյուսիս ուղղությամբ ավելացել է մեկ ուղևորություն աշխատանքային օրերին, իսկ դեպի հյուսիս երեկոյան երթևեկություններից մեկ ուղևորություն կրճատվել է ժամը 5:00-ի չվացուցակից և մեկ ուղևորություն 18:00-ի չվացուցակից։","Բարելավված հուսալիության համար, որն ավելի լավ է արտացոլում իրական երթևեկության ժամանակն ու ուղևորների թիվը։ Խնայողությունները կվերաբաշխվեն այլ բարելավումների միջև։",行車時間調整適用於工作日、週六和週日時刻表；工作日早上 8 點北行增加一班次，清晨 5 點及傍晚 6 點北行各減少一班次。,為提升準點可靠性，使時刻表更貼合實際行車時間與客流情況。節省之資源將重新分配至其他服務改善項目。,"평일, 토요일 및 일요일에 운행 시간 조정이 적용됩니다. 평일 오전 8시대 북행 운행이 1회 증편되며, 북행 저녁 운행은 오전 5시대 1회와 오후 6시대 1회 감편됩니다.",실제 운행 시간 및 이용객 수를 더 잘 반영하여 신뢰도를 높이기 위함입니다. 감편은 기타 개선 사항에 반영됩니다.,平日・土曜・日曜のダイヤで、所要時間の調整を行います。平日ダイヤで、8時台に北方面行きを1本増便し、5時台と18時台の北方面行きをそれぞれ1本ずつ減便します。,実際の移動時間や乗客数をより正確に反映し、運行の信頼性を向上させるため。他の改善に再配分されます。,"Скорректировано время отправления в будние дни, а также в субботу и воскресенье. Добавлен один рейс по будням в северном направлении в 08:00. Убраны два рейса по будням в северном направлении: в 05:00 и в 18:00.","""Для повышения надежности обслуживания, соответствия фактическому времени поездок и пассажиропотока. Сэкономленное таким образом время будет использовано для других улучшений. ""","""Điều chỉnh thời gian di chuyển vào các ngày thường trong tuần, Thứ Bảy và Chủ Nhật. Ngày thường: Thêm một chuyến hướng Bắc vào khung 8 giờ sáng, giảm một chuyến hướng Bắc vào khung 5 giờ sáng và một chuyến vào khung 6 giờ chiều.""",Nhằm nâng cao độ tin cậy bằng cách điều chỉnh thời gian di chuyển cho sát với thực tế và lưu lượng hành khách. Phần nguồn lực tiết kiệm được sẽ được tái phân bổ cho các cải tiến khác.
51,051_TT_12-14-25.pdf,,"Travel time adjustments will be made to weekday, Saturday and Sunday schedules. Reduced two weekday trips in both directions in the 6am period and adjusted Saturday daytime frequency from 7–8 minutes to every 10 minutes.",For improved reliability better reflecting actual travel times and ridership. Savings reallocated to other improvements.,"Se realizarán ajustes en los horarios del servicio de transporte programados de los días laborales, sábados y domingos. Y entre semana se harán dos recorridos menos en ambas direcciones en la franja de las 6 a.m., y los sábados se ajustará la frecuencia diurna de entre 7 y 8 minutos a cada 10 minutos.","Para mejorar la confiabilidad del servicio, reflejando mejor los horarios en que viajan y la cantidad de pasajeros reales. Lo que se ahorre se destinará a realizar otras mejoras.","Ուղևորության ժամերի փոփոխություններ կկատարվեն աշխատանքային, շաբաթ և կիրակի օրերի չվացուցակներում։ Ժամը 6:00-ի չվացուցակում երկու ուղղությամբ կրճատվել են երկու ուղևորություն աշխատանքային օրերին, իսկ շաբաթ օրերին ցերեկային ուղևորությունների հաճախականությունը 7-8 րոպեից փոփոխվել է մինչև յուրաքանչյուր 10 րոպեն մեկ։","Բարելավված հուսալիության համար, որն ավելի լավ է արտացոլում իրական երթևեկության ժամանակն ու ուղևորների թիվը։ Խնայողությունները կվերաբաշխվեն այլ բարելավումների միջև։",行車時間調整適用於工作日、週六和週日時刻表；工作日清晨 6 點雙向各減少兩班次，週六日間班距由 7–8 分鐘調整為每 10 分鐘一班。,為提升準點可靠性，使時刻表更貼合實際行車時間與客流情況。節省之資源將重新分配至其他服務改善項目。,"평일, 토요일 및 일요일에 운행 시간 조정이 적용됩니다. 평일 오전 6시대 양방향 운행이 2회 감편되며, 토요일 주간 배차 간격은 기존 7–8분에서 10분 간격으로 조정됩니다.",실제 운행 시간 및 이용객 수를 더 잘 반영하여 신뢰도를 높이기 위함입니다. 감편은 기타 개선 사항에 반영됩니다.,平日・土曜・日曜のダイヤで、所要時間の調整を行います。平日ダイヤでは6時台の上下各1本ずつを減便し、土曜の日中の運行間隔を7〜8分から10分間隔に変更します。,実際の移動時間や乗客数をより正確に反映し、運行の信頼性を向上させるため。他の改善に再配分されます。,"Скорректировано время отправления в будние дни, а также в субботу и воскресенье. Убраны два рейса по будням в обоих направлениях в 06:00. Частота движения маршрута в дневное время по субботам изменена с 7–8 минут до 10 минут.","""Для повышения надежности обслуживания, соответствия фактическому времени поездок и пассажиропотока. Сэкономленное таким образом время будет использовано для других улучшений. ""","Điều chỉnh thời gian di chuyển vào các ngày thường trong tuần, Thứ Bảy và Chủ Nhật. Giảm hai chuyến ngày thường theo cả hai hướng trong khung 6 giờ sáng, điều chỉnh tần suất chạy ban ngày Thứ Bảy từ 7–8 phút thành 10 phút/chuyến.",Nhằm nâng cao độ tin cậy bằng cách điều chỉnh thời gian di chuyển cho sát với thực tế và lưu lượng hành khách. Phần nguồn lực tiết kiệm được sẽ được tái phân bổ cho các cải tiến khác.
