field,en-content,es-content,hy-content,zh-tw-content,ko-content,ja-content,ru-content,vi-content
pageTitle,Service Updates,Actualizaciones de servicio,Ծառայության թարմացումներ,服務更新,서비스 업데이트,サービスの更新,Обновления сервиса,Cập nhật dịch vụ
pageSubtitle,"Coming December 14, 2025",A partir del 14 de diciembre de 2025,Սկսվում է 2025 թվականի դեկտեմբերի 14-ին,將於 2025 年 12 月 14 日起實施,2025년 12월 14일부터,2025年12月14日開始予定,Вступают в силу 14 декабря 2025 года,Áp dụng từ ngày 14/12/2025
introP1,"Starting December  14, 2025, Metro is making changes to bus service to provide more frequent and reliable trips to get riders where they need to go, when they need to go.","A partir del 14 de diciembre de 2025, Metro realizará cambios en el servicio de autobús para brindar viajes más frecuentes y confiables para llevar a los pasajeros a donde necesitan ir, cuando lo necesitan.","2025 թվականի դեկտեմբերի 14-ից սկսած՝ Մետրոն իրականացնում է բարեփոխումներ ավտոբուսային ծառայության շրջանակներում` ավելի հաճախակի և հուսալի ուղևորություններ տրամադրելու համար, որպեսզի հասցնի ուղևորներին իրենց անհրաժեշտ վայրն իրենց անհրաժեշտ ժամին:",自 2025 年 12 月 14 日起，大都會交通局將調整巴士服務，提供更密集且可靠的班次，讓乘客在需要出行時能够顺利抵達目的地。,2025년 12월 14일부터 메트로는 승객 여러분이 원하시는 곳에 원하시는 시간에 도착하실 수 있도록 더 자주 신뢰성 있게 운행하고자 버스 서비스를 변경합니다.,2025年12月14日から、Metro はバスサービスを見直し、必要な場所へ、必要な時間に、より頻繁で信頼性の高い運行を提供します。,"Начиная с 14 декабря 2025 года, «Metro» вносит изменения в автобусное расписание, обеспечивая более частые и надежные поездки, чтобы пассажиры могли своевременно добираться до нужных мест.","Từ ngày 14/12/2025, Metro sẽ điều chỉnh dịch vụ xe buýt nhằm tăng tần suất và độ tin cậy, giúp hành khách di chuyển đến nơi họ cần, vào đúng thời điểm họ cần."
introP2,Download a PDF summary of the latest updates in:,Descargue un resumen en PDF de las últimas actualizaciones de servicios en los siguientes idiomas:,Ներբեռնեք ծառայության վերջին թարմացումների PDF ամփոփագիրը հետևյալ լեզուներով.,您可下載以下語言的最新服務更新PDF摘要：,다음 언어로 최신 서비스 업데이트의 PDF 요약본을 다운로드하세요.,最新のサービスアップデートの概要は、次の言語でPDFをダウンロードすることができます。,Загрузите PDF-сводку последних обновлений на таких языках:,Tải xuống bản tóm tắt ở định dạng PDF về các cập nhật dịch vụ mới nhất có sẵn bằng các ngôn ngữ sau:
download,Download,Descargar,Բեռնել,下載,다운로드,ダウンロード,Скачать,Tải xuống
lineListTitle,These lines have updates:,Las siguientes líneas de autobús cuentan con actualizaciones de servicio:,Այս ավտոբուսային գծերն ունեն սպասարկման թարմացումներ.,以下巴士路線有服務更新：,이 버스 노선에 다음과 같은 서비스 업데이트 사항이 있습니다.,サービスアップデートのあるバスライン：,На этих автобусных маршрутах обновлены расписания:,Những tuyến xe buýt sau đã được cập nhật dịch vụ:
update,Update:,Actualización:,Թարմացում․,更新：,업데이트:,アップデート：,Обновление:,Cập nhật:
reason,Reason:,Motivo:,Պատճառը․,原因：,사유:,理由：,Причина:,Lý do:
schedule,New schedule,Nuevo horario,Նոր ժամանակացույց․,新的時刻表,신규 일정,新スケジュール,Новое расписание,Lịch trình mới
map,See Map,Consultar mapa,Տե՛ս Քարտեզը,查看地圖,지도 보기,地図を見る,Посмотреть карту,Xem Bản Đồ
